the input_files/RomeoAndJuliet.txt:866
restrictions input_files/RomeoAndJuliet.txt:2
whatsoever input_files/RomeoAndJuliet.txt:2
you input_files/RomeoAndJuliet.txt:362
copy input_files/RomeoAndJuliet.txt:12
it input_files/RomeoAndJuliet.txt:244
give input_files/RomeoAndJuliet.txt:52
away input_files/RomeoAndJuliet.txt:26
or input_files/RomeoAndJuliet.txt:152
reuse input_files/RomeoAndJuliet.txt:2
under input_files/RomeoAndJuliet.txt:14
terms input_files/RomeoAndJuliet.txt:22
license input_files/RomeoAndJuliet.txt:15
included input_files/RomeoAndJuliet.txt:3
online input_files/RomeoAndJuliet.txt:4
wwwgutenbergorglicense input_files/RomeoAndJuliet.txt:2
author input_files/RomeoAndJuliet.txt:1
posting input_files/RomeoAndJuliet.txt:1
date input_files/RomeoAndJuliet.txt:7
release input_files/RomeoAndJuliet.txt:1
november input_files/RomeoAndJuliet.txt:1
etext input_files/RomeoAndJuliet.txt:2
language input_files/RomeoAndJuliet.txt:2
english input_files/RomeoAndJuliet.txt:1
start input_files/RomeoAndJuliet.txt:3
proud input_files/RomeoAndJuliet.txt:7
to input_files/RomeoAndJuliet.txt:625
cooperate input_files/RomeoAndJuliet.txt:1
world input_files/RomeoAndJuliet.txt:19
library input_files/RomeoAndJuliet.txt:7
in input_files/RomeoAndJuliet.txt:377
presentation input_files/RomeoAndJuliet.txt:2
complete input_files/RomeoAndJuliet.txt:4
works input_files/RomeoAndJuliet.txt:36
your input_files/RomeoAndJuliet.txt:113
reading input_files/RomeoAndJuliet.txt:2
education input_files/RomeoAndJuliet.txt:1
entertainment input_files/RomeoAndJuliet.txt:1
however input_files/RomeoAndJuliet.txt:2
neither input_files/RomeoAndJuliet.txt:3
shareware input_files/RomeoAndJuliet.txt:1
nor input_files/RomeoAndJuliet.txt:21
public input_files/RomeoAndJuliet.txt:13
domain input_files/RomeoAndJuliet.txt:9
future input_files/RomeoAndJuliet.txt:6
conditions input_files/RomeoAndJuliet.txt:1
charges input_files/RomeoAndJuliet.txt:4
made input_files/RomeoAndJuliet.txt:21
any input_files/RomeoAndJuliet.txt:55
access input_files/RomeoAndJuliet.txt:12
material input_files/RomeoAndJuliet.txt:1
are input_files/RomeoAndJuliet.txt:90
encouraged input_files/RomeoAndJuliet.txt:1
like input_files/RomeoAndJuliet.txt:41
but input_files/RomeoAndJuliet.txt:189
allowed input_files/RomeoAndJuliet.txt:1
tragedy input_files/RomeoAndJuliet.txt:2
trademark input_files/RomeoAndJuliet.txt:11
tm input_files/RomeoAndJuliet.txt:1
inc input_files/RomeoAndJuliet.txt:2
electronic input_files/RomeoAndJuliet.txt:29
version input_files/RomeoAndJuliet.txt:2
copyright input_files/RomeoAndJuliet.txt:14
provided input_files/RomeoAndJuliet.txt:6
carnegie input_files/RomeoAndJuliet.txt:1
mellon input_files/RomeoAndJuliet.txt:1
university input_files/RomeoAndJuliet.txt:1
permission input_files/RomeoAndJuliet.txt:8
machine input_files/RomeoAndJuliet.txt:2
readable input_files/RomeoAndJuliet.txt:3
copies input_files/RomeoAndJuliet.txt:9
distributed input_files/RomeoAndJuliet.txt:6
so input_files/RomeoAndJuliet.txt:149
long input_files/RomeoAndJuliet.txt:18
such input_files/RomeoAndJuliet.txt:53
others input_files/RomeoAndJuliet.txt:9
personal input_files/RomeoAndJuliet.txt:1
only input_files/RomeoAndJuliet.txt:12
used input_files/RomeoAndJuliet.txt:4
commercially input_files/RomeoAndJuliet.txt:1
prohibited input_files/RomeoAndJuliet.txt:1
commercial input_files/RomeoAndJuliet.txt:2
distribution input_files/RomeoAndJuliet.txt:7
includes input_files/RomeoAndJuliet.txt:2
service input_files/RomeoAndJuliet.txt:2
that input_files/RomeoAndJuliet.txt:363
download input_files/RomeoAndJuliet.txt:1
membership input_files/RomeoAndJuliet.txt:1
dramatis input_files/RomeoAndJuliet.txt:1
personae input_files/RomeoAndJuliet.txt:1
chorus input_files/RomeoAndJuliet.txt:3
escalus input_files/RomeoAndJuliet.txt:2
prince input_files/RomeoAndJuliet.txt:36
verona input_files/RomeoAndJuliet.txt:15
paris input_files/RomeoAndJuliet.txt:35
young input_files/RomeoAndJuliet.txt:24
count input_files/RomeoAndJuliet.txt:5
kinsman input_files/RomeoAndJuliet.txt:13
montague input_files/RomeoAndJuliet.txt:31
heads input_files/RomeoAndJuliet.txt:7
two input_files/RomeoAndJuliet.txt:25
houses input_files/RomeoAndJuliet.txt:7
variance input_files/RomeoAndJuliet.txt:2
each input_files/RomeoAndJuliet.txt:5
other input_files/RomeoAndJuliet.txt:34
capulet input_files/RomeoAndJuliet.txt:33
old input_files/RomeoAndJuliet.txt:35
man input_files/RomeoAndJuliet.txt:72
family input_files/RomeoAndJuliet.txt:1
son input_files/RomeoAndJuliet.txt:17
tybalt input_files/RomeoAndJuliet.txt:55
nephew input_files/RomeoAndJuliet.txt:4
lady input_files/RomeoAndJuliet.txt:68
mercutio input_files/RomeoAndJuliet.txt:21
friend input_files/RomeoAndJuliet.txt:16
benvolio input_files/RomeoAndJuliet.txt:17
friar input_files/RomeoAndJuliet.txt:92
laurence input_files/RomeoAndJuliet.txt:17
franciscan input_files/RomeoAndJuliet.txt:3
john input_files/RomeoAndJuliet.txt:9
balthasar input_files/RomeoAndJuliet.txt:7
servant input_files/RomeoAndJuliet.txt:7
abram input_files/RomeoAndJuliet.txt:2
sampson input_files/RomeoAndJuliet.txt:4
gregory input_files/RomeoAndJuliet.txt:6
peter input_files/RomeoAndJuliet.txt:17
juliets input_files/RomeoAndJuliet.txt:7
nurse input_files/RomeoAndJuliet.txt:150
apothecary input_files/RomeoAndJuliet.txt:5
three input_files/RomeoAndJuliet.txt:10
musicians input_files/RomeoAndJuliet.txt:9
officer input_files/RomeoAndJuliet.txt:3
wife input_files/RomeoAndJuliet.txt:47
daughter input_files/RomeoAndJuliet.txt:14
citizens input_files/RomeoAndJuliet.txt:6
gentlemen input_files/RomeoAndJuliet.txt:11
gentlewomen input_files/RomeoAndJuliet.txt:2
both input_files/RomeoAndJuliet.txt:25
maskers input_files/RomeoAndJuliet.txt:5
torchbearers input_files/RomeoAndJuliet.txt:2
pages input_files/RomeoAndJuliet.txt:2
guards input_files/RomeoAndJuliet.txt:1
watchmen input_files/RomeoAndJuliet.txt:1
servants input_files/RomeoAndJuliet.txt:3
attendants input_files/RomeoAndJuliet.txt:2
sceneverona input_files/RomeoAndJuliet.txt:1
mantua input_files/RomeoAndJuliet.txt:14
prologue input_files/RomeoAndJuliet.txt:3
enter input_files/RomeoAndJuliet.txt:82
chor input_files/RomeoAndJuliet.txt:2
households input_files/RomeoAndJuliet.txt:2
alike input_files/RomeoAndJuliet.txt:3
dignity input_files/RomeoAndJuliet.txt:1
fair input_files/RomeoAndJuliet.txt:44
where input_files/RomeoAndJuliet.txt:55
we input_files/RomeoAndJuliet.txt:75
lay input_files/RomeoAndJuliet.txt:11
our input_files/RomeoAndJuliet.txt:65
scene input_files/RomeoAndJuliet.txt:26
from input_files/RomeoAndJuliet.txt:101
ancient input_files/RomeoAndJuliet.txt:9
grudge input_files/RomeoAndJuliet.txt:1
break input_files/RomeoAndJuliet.txt:5
new input_files/RomeoAndJuliet.txt:16
mutiny input_files/RomeoAndJuliet.txt:2
civil input_files/RomeoAndJuliet.txt:4
blood input_files/RomeoAndJuliet.txt:17
makes input_files/RomeoAndJuliet.txt:13
hands input_files/RomeoAndJuliet.txt:13
unclean input_files/RomeoAndJuliet.txt:1
forth input_files/RomeoAndJuliet.txt:21
fatal input_files/RomeoAndJuliet.txt:4
loins input_files/RomeoAndJuliet.txt:1
these input_files/RomeoAndJuliet.txt:45
foes input_files/RomeoAndJuliet.txt:2
pair input_files/RomeoAndJuliet.txt:2
starcrossd input_files/RomeoAndJuliet.txt:1
lovers input_files/RomeoAndJuliet.txt:8
take input_files/RomeoAndJuliet.txt:41
their input_files/RomeoAndJuliet.txt:47
life input_files/RomeoAndJuliet.txt:24
whose input_files/RomeoAndJuliet.txt:15
misadventurd input_files/RomeoAndJuliet.txt:1
piteous input_files/RomeoAndJuliet.txt:5
overthrows input_files/RomeoAndJuliet.txt:1
doth input_files/RomeoAndJuliet.txt:47
death input_files/RomeoAndJuliet.txt:69
bury input_files/RomeoAndJuliet.txt:3
parents input_files/RomeoAndJuliet.txt:2
strife input_files/RomeoAndJuliet.txt:2
fearful input_files/RomeoAndJuliet.txt:7
passage input_files/RomeoAndJuliet.txt:1
deathmarkd input_files/RomeoAndJuliet.txt:1
love input_files/RomeoAndJuliet.txt:137
continuance input_files/RomeoAndJuliet.txt:1
rage input_files/RomeoAndJuliet.txt:4
childrens input_files/RomeoAndJuliet.txt:1
end input_files/RomeoAndJuliet.txt:11
naught input_files/RomeoAndJuliet.txt:3
could input_files/RomeoAndJuliet.txt:18
remove input_files/RomeoAndJuliet.txt:5
now input_files/RomeoAndJuliet.txt:79
hours input_files/RomeoAndJuliet.txt:7
traffic input_files/RomeoAndJuliet.txt:1
stage input_files/RomeoAndJuliet.txt:2
if input_files/RomeoAndJuliet.txt:103
patient input_files/RomeoAndJuliet.txt:3
ears input_files/RomeoAndJuliet.txt:10
attend input_files/RomeoAndJuliet.txt:3
what input_files/RomeoAndJuliet.txt:166
here input_files/RomeoAndJuliet.txt:80
shall input_files/RomeoAndJuliet.txt:112
miss input_files/RomeoAndJuliet.txt:2
toil input_files/RomeoAndJuliet.txt:3
strive input_files/RomeoAndJuliet.txt:1
mend input_files/RomeoAndJuliet.txt:2
exit input_files/RomeoAndJuliet.txt:33
act input_files/RomeoAndJuliet.txt:7
i input_files/RomeoAndJuliet.txt:585
place input_files/RomeoAndJuliet.txt:14
swords input_files/RomeoAndJuliet.txt:5
bucklers input_files/RomeoAndJuliet.txt:1
house input_files/RomeoAndJuliet.txt:28
samp input_files/RomeoAndJuliet.txt:20
on input_files/RomeoAndJuliet.txt:88
my input_files/RomeoAndJuliet.txt:360
word input_files/RomeoAndJuliet.txt:28
carry input_files/RomeoAndJuliet.txt:3
coals input_files/RomeoAndJuliet.txt:1
greg input_files/RomeoAndJuliet.txt:15
then input_files/RomeoAndJuliet.txt:84
should input_files/RomeoAndJuliet.txt:51
colliers input_files/RomeoAndJuliet.txt:1
mean input_files/RomeoAndJuliet.txt:9
choler input_files/RomeoAndJuliet.txt:2
draw input_files/RomeoAndJuliet.txt:11
ay input_files/RomeoAndJuliet.txt:31
while input_files/RomeoAndJuliet.txt:7
live input_files/RomeoAndJuliet.txt:19
neck input_files/RomeoAndJuliet.txt:2
out input_files/RomeoAndJuliet.txt:53
collar input_files/RomeoAndJuliet.txt:1
strike input_files/RomeoAndJuliet.txt:5
quickly input_files/RomeoAndJuliet.txt:5
being input_files/RomeoAndJuliet.txt:26
moved input_files/RomeoAndJuliet.txt:6
thou input_files/RomeoAndJuliet.txt:277
art input_files/RomeoAndJuliet.txt:55
dog input_files/RomeoAndJuliet.txt:5
moves input_files/RomeoAndJuliet.txt:1
me input_files/RomeoAndJuliet.txt:265
move input_files/RomeoAndJuliet.txt:9
stir input_files/RomeoAndJuliet.txt:6
valiant input_files/RomeoAndJuliet.txt:2
stand input_files/RomeoAndJuliet.txt:26
therefore input_files/RomeoAndJuliet.txt:23
runnst input_files/RomeoAndJuliet.txt:1
will input_files/RomeoAndJuliet.txt:156
wall input_files/RomeoAndJuliet.txt:10
maid input_files/RomeoAndJuliet.txt:10
montagues input_files/RomeoAndJuliet.txt:7
shows input_files/RomeoAndJuliet.txt:6
thee input_files/RomeoAndJuliet.txt:138
weak input_files/RomeoAndJuliet.txt:3
slave input_files/RomeoAndJuliet.txt:3
weakest input_files/RomeoAndJuliet.txt:1
goes input_files/RomeoAndJuliet.txt:3
tis input_files/RomeoAndJuliet.txt:41
true input_files/RomeoAndJuliet.txt:26
women input_files/RomeoAndJuliet.txt:4
weaker input_files/RomeoAndJuliet.txt:1
vessels input_files/RomeoAndJuliet.txt:1
ever input_files/RomeoAndJuliet.txt:12
thrust input_files/RomeoAndJuliet.txt:3
push input_files/RomeoAndJuliet.txt:1
men input_files/RomeoAndJuliet.txt:21
his input_files/RomeoAndJuliet.txt:139
maids input_files/RomeoAndJuliet.txt:6
quarrel input_files/RomeoAndJuliet.txt:11
between input_files/RomeoAndJuliet.txt:3
masters input_files/RomeoAndJuliet.txt:3
us input_files/RomeoAndJuliet.txt:34
all input_files/RomeoAndJuliet.txt:116
show input_files/RomeoAndJuliet.txt:11
myself input_files/RomeoAndJuliet.txt:15
tyrant input_files/RomeoAndJuliet.txt:2
have input_files/RomeoAndJuliet.txt:131
fought input_files/RomeoAndJuliet.txt:4
cruel input_files/RomeoAndJuliet.txt:4
cut input_files/RomeoAndJuliet.txt:4
off input_files/RomeoAndJuliet.txt:10
maidenheads input_files/RomeoAndJuliet.txt:1
sense input_files/RomeoAndJuliet.txt:3
wilt input_files/RomeoAndJuliet.txt:30
they input_files/RomeoAndJuliet.txt:62
must input_files/RomeoAndJuliet.txt:50
feel input_files/RomeoAndJuliet.txt:7
am input_files/RomeoAndJuliet.txt:60
able input_files/RomeoAndJuliet.txt:2
known input_files/RomeoAndJuliet.txt:4
pretty input_files/RomeoAndJuliet.txt:7
piece input_files/RomeoAndJuliet.txt:2
flesh input_files/RomeoAndJuliet.txt:7
fish input_files/RomeoAndJuliet.txt:2
hadst input_files/RomeoAndJuliet.txt:6
been input_files/RomeoAndJuliet.txt:20
poorjohn input_files/RomeoAndJuliet.txt:1
thy input_files/RomeoAndJuliet.txt:164
tool input_files/RomeoAndJuliet.txt:1
comes input_files/RomeoAndJuliet.txt:26
servingmen input_files/RomeoAndJuliet.txt:3
naked input_files/RomeoAndJuliet.txt:1
weapon input_files/RomeoAndJuliet.txt:2
back input_files/RomeoAndJuliet.txt:29
how input_files/RomeoAndJuliet.txt:64
turn input_files/RomeoAndJuliet.txt:12
run input_files/RomeoAndJuliet.txt:13
fear input_files/RomeoAndJuliet.txt:15
marry input_files/RomeoAndJuliet.txt:23
let input_files/RomeoAndJuliet.txt:45
law input_files/RomeoAndJuliet.txt:13
sides input_files/RomeoAndJuliet.txt:1
them input_files/RomeoAndJuliet.txt:44
begin input_files/RomeoAndJuliet.txt:3
frown input_files/RomeoAndJuliet.txt:2
pass input_files/RomeoAndJuliet.txt:3
list input_files/RomeoAndJuliet.txt:1
nay input_files/RomeoAndJuliet.txt:20
dare input_files/RomeoAndJuliet.txt:5
bite input_files/RomeoAndJuliet.txt:8
thumb input_files/RomeoAndJuliet.txt:6
disgrace input_files/RomeoAndJuliet.txt:1
bear input_files/RomeoAndJuliet.txt:12
abr input_files/RomeoAndJuliet.txt:5
do input_files/RomeoAndJuliet.txt:106
sir input_files/RomeoAndJuliet.txt:56
aside input_files/RomeoAndJuliet.txt:12
side input_files/RomeoAndJuliet.txt:5
say input_files/RomeoAndJuliet.txt:52
serve input_files/RomeoAndJuliet.txt:6
good input_files/RomeoAndJuliet.txt:82
better input_files/RomeoAndJuliet.txt:12
kinsmen input_files/RomeoAndJuliet.txt:4
yes input_files/RomeoAndJuliet.txt:2
lie input_files/RomeoAndJuliet.txt:21
remember input_files/RomeoAndJuliet.txt:6
swashing input_files/RomeoAndJuliet.txt:1
blow input_files/RomeoAndJuliet.txt:2
fight input_files/RomeoAndJuliet.txt:6
ben input_files/RomeoAndJuliet.txt:64
part input_files/RomeoAndJuliet.txt:27
fools input_files/RomeoAndJuliet.txt:3
beats input_files/RomeoAndJuliet.txt:4
down input_files/RomeoAndJuliet.txt:20
put input_files/RomeoAndJuliet.txt:16
up input_files/RomeoAndJuliet.txt:58
know input_files/RomeoAndJuliet.txt:36
tyb input_files/RomeoAndJuliet.txt:17
drawn input_files/RomeoAndJuliet.txt:3
among input_files/RomeoAndJuliet.txt:6
heartless input_files/RomeoAndJuliet.txt:1
hinds input_files/RomeoAndJuliet.txt:1
look input_files/RomeoAndJuliet.txt:31
upon input_files/RomeoAndJuliet.txt:46
keep input_files/RomeoAndJuliet.txt:18
peace input_files/RomeoAndJuliet.txt:19
sword input_files/RomeoAndJuliet.txt:7
manage input_files/RomeoAndJuliet.txt:2
talk input_files/RomeoAndJuliet.txt:12
hate input_files/RomeoAndJuliet.txt:12
hell input_files/RomeoAndJuliet.txt:7
coward input_files/RomeoAndJuliet.txt:1
four input_files/RomeoAndJuliet.txt:3
clubs input_files/RomeoAndJuliet.txt:2
partisans input_files/RomeoAndJuliet.txt:3
bills input_files/RomeoAndJuliet.txt:1
beat input_files/RomeoAndJuliet.txt:4
capulets input_files/RomeoAndJuliet.txt:18
gown input_files/RomeoAndJuliet.txt:1
cap input_files/RomeoAndJuliet.txt:53
noise input_files/RomeoAndJuliet.txt:6
ho input_files/RomeoAndJuliet.txt:13
crutch input_files/RomeoAndJuliet.txt:2
why input_files/RomeoAndJuliet.txt:39
call input_files/RomeoAndJuliet.txt:23
come input_files/RomeoAndJuliet.txt:99
flourishes input_files/RomeoAndJuliet.txt:1
blade input_files/RomeoAndJuliet.txt:2
spite input_files/RomeoAndJuliet.txt:4
mon input_files/RomeoAndJuliet.txt:10
villain input_files/RomeoAndJuliet.txt:17
hold input_files/RomeoAndJuliet.txt:18
go input_files/RomeoAndJuliet.txt:76
m input_files/RomeoAndJuliet.txt:2
shalt input_files/RomeoAndJuliet.txt:11
foot input_files/RomeoAndJuliet.txt:9
seek input_files/RomeoAndJuliet.txt:4
foe input_files/RomeoAndJuliet.txt:5
train input_files/RomeoAndJuliet.txt:1
rebellious input_files/RomeoAndJuliet.txt:1
subjects input_files/RomeoAndJuliet.txt:1
enemies input_files/RomeoAndJuliet.txt:2
profaners input_files/RomeoAndJuliet.txt:1
neighbourstained input_files/RomeoAndJuliet.txt:1
steel input_files/RomeoAndJuliet.txt:4
hear input_files/RomeoAndJuliet.txt:23
beasts input_files/RomeoAndJuliet.txt:1
quench input_files/RomeoAndJuliet.txt:2
fire input_files/RomeoAndJuliet.txt:6
pernicious input_files/RomeoAndJuliet.txt:1
purple input_files/RomeoAndJuliet.txt:1
fountains input_files/RomeoAndJuliet.txt:1
issuing input_files/RomeoAndJuliet.txt:1
veins input_files/RomeoAndJuliet.txt:4
pain input_files/RomeoAndJuliet.txt:3
torture input_files/RomeoAndJuliet.txt:4
those input_files/RomeoAndJuliet.txt:16
bloody input_files/RomeoAndJuliet.txt:7
throw input_files/RomeoAndJuliet.txt:1
mistempered input_files/RomeoAndJuliet.txt:1
weapons input_files/RomeoAndJuliet.txt:2
ground input_files/RomeoAndJuliet.txt:9
sentence input_files/RomeoAndJuliet.txt:4
brawls input_files/RomeoAndJuliet.txt:2
bred input_files/RomeoAndJuliet.txt:1
airy input_files/RomeoAndJuliet.txt:3
thrice input_files/RomeoAndJuliet.txt:1
disturbd input_files/RomeoAndJuliet.txt:1
quiet input_files/RomeoAndJuliet.txt:4
streets input_files/RomeoAndJuliet.txt:4
veronas input_files/RomeoAndJuliet.txt:2
cast input_files/RomeoAndJuliet.txt:3
grave input_files/RomeoAndJuliet.txt:16
beseeming input_files/RomeoAndJuliet.txt:1
ornaments input_files/RomeoAndJuliet.txt:2
wield input_files/RomeoAndJuliet.txt:1
cankred input_files/RomeoAndJuliet.txt:2
disturb input_files/RomeoAndJuliet.txt:2
again input_files/RomeoAndJuliet.txt:27
lives input_files/RomeoAndJuliet.txt:14
pay input_files/RomeoAndJuliet.txt:5
forfeit input_files/RomeoAndJuliet.txt:2
rest input_files/RomeoAndJuliet.txt:16
depart input_files/RomeoAndJuliet.txt:4
along input_files/RomeoAndJuliet.txt:4
afternoon input_files/RomeoAndJuliet.txt:3
farther input_files/RomeoAndJuliet.txt:3
pleasure input_files/RomeoAndJuliet.txt:5
case input_files/RomeoAndJuliet.txt:9
freetown input_files/RomeoAndJuliet.txt:1
common input_files/RomeoAndJuliet.txt:2
judgment input_files/RomeoAndJuliet.txt:3
once input_files/RomeoAndJuliet.txt:10
more input_files/RomeoAndJuliet.txt:68
exeunt input_files/RomeoAndJuliet.txt:33
who input_files/RomeoAndJuliet.txt:35
set input_files/RomeoAndJuliet.txt:17
abroach input_files/RomeoAndJuliet.txt:1
speak input_files/RomeoAndJuliet.txt:28
began input_files/RomeoAndJuliet.txt:2
adversary input_files/RomeoAndJuliet.txt:1
yours input_files/RomeoAndJuliet.txt:3
close input_files/RomeoAndJuliet.txt:6
fighting input_files/RomeoAndJuliet.txt:1
ere input_files/RomeoAndJuliet.txt:20
did input_files/RomeoAndJuliet.txt:40
approach input_files/RomeoAndJuliet.txt:4
drew input_files/RomeoAndJuliet.txt:2
instant input_files/RomeoAndJuliet.txt:1
came input_files/RomeoAndJuliet.txt:13
fiery input_files/RomeoAndJuliet.txt:2
prepard input_files/RomeoAndJuliet.txt:1
he input_files/RomeoAndJuliet.txt:122
breathd input_files/RomeoAndJuliet.txt:2
defiance input_files/RomeoAndJuliet.txt:1
swung input_files/RomeoAndJuliet.txt:1
about input_files/RomeoAndJuliet.txt:20
head input_files/RomeoAndJuliet.txt:14
winds input_files/RomeoAndJuliet.txt:2
nothing input_files/RomeoAndJuliet.txt:14
hurt input_files/RomeoAndJuliet.txt:6
withal input_files/RomeoAndJuliet.txt:5
hissd input_files/RomeoAndJuliet.txt:1
him input_files/RomeoAndJuliet.txt:100
scorn input_files/RomeoAndJuliet.txt:5
interchanging input_files/RomeoAndJuliet.txt:1
thrusts input_files/RomeoAndJuliet.txt:2
blows input_files/RomeoAndJuliet.txt:3
till input_files/RomeoAndJuliet.txt:22
parted input_files/RomeoAndJuliet.txt:1
either input_files/RomeoAndJuliet.txt:10
o input_files/RomeoAndJuliet.txt:154
saw input_files/RomeoAndJuliet.txt:10
today input_files/RomeoAndJuliet.txt:3
right input_files/RomeoAndJuliet.txt:9
glad input_files/RomeoAndJuliet.txt:2
fray input_files/RomeoAndJuliet.txt:4
madam input_files/RomeoAndJuliet.txt:23
hour input_files/RomeoAndJuliet.txt:16
before input_files/RomeoAndJuliet.txt:22
worshippd input_files/RomeoAndJuliet.txt:1
sun input_files/RomeoAndJuliet.txt:15
peerd input_files/RomeoAndJuliet.txt:1
golden input_files/RomeoAndJuliet.txt:4
window input_files/RomeoAndJuliet.txt:5
east input_files/RomeoAndJuliet.txt:4
troubled input_files/RomeoAndJuliet.txt:1
mind input_files/RomeoAndJuliet.txt:8
drave input_files/RomeoAndJuliet.txt:1
walk input_files/RomeoAndJuliet.txt:4
abroad input_files/RomeoAndJuliet.txt:4
underneath input_files/RomeoAndJuliet.txt:2
grove input_files/RomeoAndJuliet.txt:1
sycamore input_files/RomeoAndJuliet.txt:1
westward input_files/RomeoAndJuliet.txt:1
rooteth input_files/RomeoAndJuliet.txt:1
citys input_files/RomeoAndJuliet.txt:1
walking input_files/RomeoAndJuliet.txt:1
see input_files/RomeoAndJuliet.txt:40
towards input_files/RomeoAndJuliet.txt:4
ware input_files/RomeoAndJuliet.txt:2
stole input_files/RomeoAndJuliet.txt:1
into input_files/RomeoAndJuliet.txt:9
covert input_files/RomeoAndJuliet.txt:1
wood input_files/RomeoAndJuliet.txt:2
measuring input_files/RomeoAndJuliet.txt:1
affections input_files/RomeoAndJuliet.txt:3
own input_files/RomeoAndJuliet.txt:17
most input_files/RomeoAndJuliet.txt:19
sought input_files/RomeoAndJuliet.txt:4
might input_files/RomeoAndJuliet.txt:6
found input_files/RomeoAndJuliet.txt:10
too input_files/RomeoAndJuliet.txt:57
many input_files/RomeoAndJuliet.txt:16
weary input_files/RomeoAndJuliet.txt:2
self input_files/RomeoAndJuliet.txt:2
pursud input_files/RomeoAndJuliet.txt:2
humour input_files/RomeoAndJuliet.txt:3
pursuing input_files/RomeoAndJuliet.txt:1
gladly input_files/RomeoAndJuliet.txt:2
shunnd input_files/RomeoAndJuliet.txt:1
fled input_files/RomeoAndJuliet.txt:2
morning input_files/RomeoAndJuliet.txt:8
hath input_files/RomeoAndJuliet.txt:64
seen input_files/RomeoAndJuliet.txt:6
tears input_files/RomeoAndJuliet.txt:20
augmenting input_files/RomeoAndJuliet.txt:1
fresh input_files/RomeoAndJuliet.txt:2
mornings input_files/RomeoAndJuliet.txt:3
dew input_files/RomeoAndJuliet.txt:4
adding input_files/RomeoAndJuliet.txt:1
clouds input_files/RomeoAndJuliet.txt:8
deep input_files/RomeoAndJuliet.txt:6
sighs input_files/RomeoAndJuliet.txt:5
soon input_files/RomeoAndJuliet.txt:13
allcheering input_files/RomeoAndJuliet.txt:1
furthest input_files/RomeoAndJuliet.txt:1
bean input_files/RomeoAndJuliet.txt:1
shady input_files/RomeoAndJuliet.txt:1
curtains input_files/RomeoAndJuliet.txt:3
auroras input_files/RomeoAndJuliet.txt:1
bed input_files/RomeoAndJuliet.txt:23
light input_files/RomeoAndJuliet.txt:29
steals input_files/RomeoAndJuliet.txt:1
home input_files/RomeoAndJuliet.txt:7
heavy input_files/RomeoAndJuliet.txt:10
private input_files/RomeoAndJuliet.txt:2
chamber input_files/RomeoAndJuliet.txt:9
pens input_files/RomeoAndJuliet.txt:1
himself input_files/RomeoAndJuliet.txt:10
shuts input_files/RomeoAndJuliet.txt:2
windows input_files/RomeoAndJuliet.txt:2
locks input_files/RomeoAndJuliet.txt:2
daylight input_files/RomeoAndJuliet.txt:4
artificial input_files/RomeoAndJuliet.txt:1
night input_files/RomeoAndJuliet.txt:68
black input_files/RomeoAndJuliet.txt:10
portentous input_files/RomeoAndJuliet.txt:1
prove input_files/RomeoAndJuliet.txt:6
unless input_files/RomeoAndJuliet.txt:10
counsel input_files/RomeoAndJuliet.txt:8
cause input_files/RomeoAndJuliet.txt:7
noble input_files/RomeoAndJuliet.txt:7
